"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",259,180,143,259,164,143,259,215,189,169,215,276,259,180,187,226,187,161,180,187,180,182,248,267,225,271,161,180,248,187,145,161,180,187,161,271,161,271,161,271,161,180,207,222,147,212,229,275,194,221,250,192,275,192,194,221,212,210,234,213,234,238,234,238,243,238,243,238,244,213,198,244,234,210,212,210,183,233,204,233,278,197,64,7,5,50,56,15,95,122,44,56,50,64,105,55,125,55,41,80
"2",259,180,161,177,197,203,99,15,35,15,62,15,62,15,44,56,93,56,83,64,91,93,15,18,44,18,122,95,35,95,122,75,24,95,39,24,75,35,122,18,44,56,93,82,91,134,22,3,65,3,65,81,111,2,46,2,138,54,2,101,2,101,2,124,94,75,122,95,122,75,24,125,24,39,24,75,17,57,100,4,57,17,94,5,17,105,242,277,258,253,221,194,250,160,221,241,229,147,222,247
"3",259,140,259,180,215,228,259,228,167,172,173,176,264,152,258,186,190,171,190,146,186,190,270,223,214,250,190,153,190,223,270,165,153,223,153,257,247,227,156,227,168,156,185,208,191,266,191,167,278,197,278,197,264,173,172,273,260,273,64,273,172,173,176,264,59,278,254,195,245,268,254,166,157,262,203,251,228,164,145,143,140,259,164,143,145,161,182,200,271,274,188,274,188,170,209,149,263,149,263,149
"4",259,180,143,145,189,163,189,163,209,163,151,163,189,209,163,151,170,209,169,215,169,269,177,166,254,195,221,212,245,268,245,268,245,268,210,212,147,183,201,235,247,235,207,203,218,237,218,206,183,222,192,221,157,250,194,221,194,275,185,222,185,192,153,236,257,236,168,236,223,214,223,270,223,270,223,165,184,236,257,236,257,153,223,214,223,270,165,184,257,247,205,191,144,167,172,176,173,187,145,143
"5",259,143,164,140,259,164,228,226,269,169,182,267,200,225,188,271,263,273,155,167,191,144,167,191,266,207,243,244,266,244,234,238,243,213,198,244,181,244,198,213,198,244,234,213,244,181,244,213,199,213,198,213,198,244,213,244,237,218,207,111,91,111,103,20,88,67,137,101,2,101,88,67,137,138,54,161,182,200,225,200,225,271,161,187,228,177,197,203,251,228,226,203,242,105,45,80,29,32,8,4
"6",259,276,260,273,260,273,172,199,213,238,235,266,251,228,251,203,273,149,263,149,273,172,199,151,263,193,273,260,273,149,209,274,271,200,225,267,259,140,143,145,215,276,259,140,259,193,149,193,149,216,207,210,207,243,234,237,244,265,244,265,181,265,213,266,217,191,167,144,207,210,183,250,160,194,221,250,194,214,250,194,275,192,229,222,192,214,223,270,223,153,236,257,236,257,205,247,205,208,191,277
"7",259,215,169,189,179,189,209,163,151,216,187,180,259,187,143,259,263,193,209,163,151,199,149,216,149,216,149,273,260,273,28,100,4,100,94,122,75,95,23,102,120,102,108,102,120,23,95,8,125,55,92,55,105,55,105,114,11,114,74,6,67,6,129,134,129,134,6,128,278,197,203,246,177,197,172,105,90,15,33,62,15,62,33,62,99,51,56,50,64,93,82,91,103,91,128,64,128,114,128,25
"8",259,276,193,179,193,209,193,200,170,188,271,188,170,209,170,271,225,274,225,200,182,143,145,200,225,274,225,161,54,119,22,134,78,134,128,124,82,128,43,78,134,6,81,103,111,82,111,2,27,138,27,59,71,55,45,80,29,80,60,80,45,55,41,16,41,80,41,36,41,16,41,16,41,36,84,132,21,132,48,136,97,136,118,42,58,7,139,149,273,172,176,172,203,242,152,258,253,277,191,208
"9",259,180,259,248,259,248,228,248,267,259,193,179,209,163,209,169,259,140,259,187,180,228,251,197,242,28,64,207,235,205,227,208,227,208,247,235,243,235,207,243,235,191,217,178,231,196,231,196,104,38,76,13,79,76,38,86,38,76,38,76,79,13,79,49,79,220,256,236,184,165,184,168,184,153,190,223,270,190,250,160,221,245,254,166,254,154,206,278,148,166,157,195,254,278,254,278,148,157,148,242
"10",259,180,228,251,228,226,180,187,215,259,180,143,145,143,180,145,169,276,259,276,193,179,276,215,276,179,169,189,215,149,216,169,149,273,149,163,216,207,268,210,183,233,148,242,250,190,250,190,224,146,232,146,249,186,190,186,249,186,258,277,152,277,258,277,115,49,30,68,175,68,175,261,239,261,239,141,211,159,219,162,159,252,202,219,162,219,159,202,150,142,220,79,104,130,76,31,79,76,13,79
"11",259,193,179,200,193,276,215,169,269,216,149,263,149,273,260,193,179,107,88,107,20,111,101,63,139,34,28,139,9,101,72,124,64,9,64,207,246,177,197,278,197,203,144,58,42,97,102,97,127,132,106,95,48,84,156,223,153,165,184,168,184,153,214,232,186,249,186,204,171,249,186,190,153,190,186,190,250,214,153,190,156,257,205,227,156,247,185,275,222,192,275,229,222,247,147,212,210,212,210,212
"12",259,143,276,169,149,193,263,271,274,188,271,188,274,225,200,225,200,271,225,271,170,200,193,263,193,179,193,263,161,180,259,215,145,27,92,27,71,92,135,40,125,40,135,40,135,55,92,135,92,71,27,59,27,59,197,177,269,149,263,151,263,149,173,264,173,187,226,228,251,226,164,228,251,187,226,187,143,164,143,164,143,164,145,206,177,254,245,212,229,241,192,222,147,201,147,235,243,201,210,183
"13",259,267,248,259,182,225,200,225,200,193,263,193,149,263,193,179,169,215,169,9,72,63,72,111,91,111,91,103,91,6,22,134,43,74,25,52,64,1,116,63,111,20,67,88,20,103,107,124,88,124,63,9,85,9,54,69,46,137,2,67,88,107,88,124,116,63,116,124,72,273,260,273,260,169,215,145,259,276,193,209,163,169,189,163,263,149,216,189,209,151,163,151,209,179,193,179,193,263,193,149
"14",259,143,180,259,143,145,143,180,145,269,203,197,251,228,226,228,248,228,226,228,164,228,251,206,218,177,254,278,195,245,241,229,147,222,235,247,222,229,183,268,154,218,237,64,116,124,72,101,124,107,88,72,101,9,2,111,72,9,63,124,116,63,139,93,64,50,5,17,75,24,39,24,94,17,105,32,8,125,40,125,24,125,135,55,90,99,90,35,87,102,87,97,117,53,127,132,21,48,127,136
"15",259,143,182,267,182,143,215,276,259,248,228,226,187,226,164,226,228,177,197,278,254,195,221,148,278,177,197,59,172,203,4,28,7,57,100,8,100,8,4,8,29,45,32,4,139,85,64,93,82,99,42,115,49,79,31,13,79,220,231,202,261,178,261,178,261,202,178,261,175,178,252,261,252,162,202,150,142,239,261,202,219,159,219,174,141,211,141,174,141,196,104,79,13,76,130,38,86,38,130,76
"16",259,143,164,226,164,226,228,251,203,148,166,160,250,214,250,190,223,270,223,270,223,214,223,156,247,235,217,266,244,234,198,244,234,244,198,244,237,269,207,183,246,206,237,234,244,234,244,265,181,244,213,217,239,261,178,261,202,162,159,162,202,162,159,219,159,211,141,142,256,202,252,217,213,199,172,173,172,273,259,263,209,170,151,163,151,149,169,215,169,216,9,72,101,137,69,131,69,131,137,88
"17",259,180,187,161,180,228,164,251,269,237,244,198,181,244,265,199,144,167,191,235,266,244,234,244,234,238,213,198,244,199,213,199,265,213,198,244,234,210,207,210,212,253,221,192,275,192,185,275,214,275,192,241,192,185,275,185,192,222,147,201,238,243,244,234,210,201,234,237,244,266,243,238,243,266,207,243,235,207,210,201,210,183,233,277,172,173,176,172,273,260,179,193,260,259,267,248,259,140,259,215
"18",259,180,259,193,259,180,187,145,9,111,2,124,63,111,54,138,69,131,54,138,124,1,124,116,124,2,67,129,78,91,128,25,6,129,6,129,78,43,64,111,63,273,64,93,82,93,7,99,51,99,15,44,15,124,72,63,72,101,107,124,111,2,9,206,218,237,206,154,268,64,128,6,78,43,128,54,138,137,88,107,20,111,91,93,64,34,50,7,15,56,93,56,44,122,75,24,40,125,8,105
"19",259,140,276,179,189,169,276,143,164,226,164,226,180,187,180,259,180,215,145,187,226,228,226,251,197,177,197,203,269,177,228,164,226,177,172,176,173,264,172,59,27,55,135,127,117,136,48,23,39,24,94,122,44,56,50,64,93,99,90,99,10,89,112,133,98,133,98,82,91,273,81,6,67,6,81,59,264,230,258,253,277,152,264,105,125,40,125,40,24,95,23,95,132,106,132,106,95,24,94,105
